gen	nevals	Avg   	Std    	Min	Max
169	61    	116.41	10.7127	111	152
170	45    	114.16	8.45544	111	143
171	64    	116.24	11.078 	111	150
172	64    	116.57	10.1953	111	145
173	60    	116.56	11.0121	111	151
174	64    	116.86	11.5343	111	152
175	67    	115.63	9.65987	111	144
176	63    	115.59	10.1312	111	149
177	49    	117.68	12.1185	111	160
178	65    	115.33	9.81025	111	144
179	57    	115.87	10.2466	111	146
180	60    	115.06	9.50349	111	145
181	75    	116.16	10.9615	111	148
182	67    	115.47	10.2386	111	152
183	68    	116.49	10.5399	111	146
184	67    	117.06	10.9971	111	152
185	55    	115.55	10.1315	111	148
186	57    	115.21	9.68225	111	147
187	65    	118.64	11.9252	111	147
188	57    	116.17	10.4154	111	147
189	63    	116.64	11.0458	111	145
190	60    	115.91	10.3693	111	149
191	65    	116.52	10.6953	111	151
192	64    	115.05	9.11962	111	144
193	64    	115.2 	9.14549	111	144
194	63    	116.45	10.456 	111	146
195	57    	115.02	9.88633	111	148
196	64    	115.91	9.6872 	111	148
197	72    	117.99	12.1206	111	151
198	60    	117.67	12.0441	109	157
199	67    	115.99	10.0822	109	146
200	68    	116.93	11.1555	109	146
201	65    	115.03	9.75649	109	147
202	58    	115.31	10.902 	109	152
203	81    	115.26	11.3689	109	149
204	67    	114.29	10.2852	108	147
205	53    	114.65	10.6107	104	144
206	67    	114.16	11.7548	104	149
207	64    	113.89	10.9379	104	150
208	50    	114.1 	11.4363	104	145
209	55    	113   	10.894 	104	144
210	64    	112.78	11.0014	104	144
211	59    	112.63	11.155 	104	144
212	63    	108.8 	8.743  	103	141
213	66    	109.2 	10.3305	103	143
214	56    	110.94	12.5218	103	143
215	61    	109.19	11.5557	103	160
216	53    	107.85	9.58058	103	138
217	57    	109.91	11.7227	103	146
218	56    	108.86	11.4813	103	144
219	58    	108.77	11.4716	103	141
220	64    	108.92	11.8277	103	150
221	60    	109.05	11.8164	103	144
222	66    	109.61	12.3247	103	143
223	68    	108.66	10.941 	103	144
224	54    	108.97	11.4991	103	141
225	73    	108.41	10.6443	103	141
226	52    	109.04	11.421 	103	146
227	73    	108.59	11.4246	103	152
228	58    	110.73	13.0322	103	147
229	59    	109.85	12.1502	103	144
230	59    	107.83	10.7685	103	145
231	64    	109.83	12.5945	103	147
232	64    	109.22	11.988 	102	143
233	61    	108.91	10.9216	103	135
234	70    	109.83	12.3831	103	147
235	69    	108.87	11.2104	103	144
236	66    	108.87	11.6384	103	145
237	68    	108.88	11.3369	103	140
238	50    	107.43	10.3046	103	141
239	58    	108.31	11.0532	103	142
240	54    	110.14	12.227 	103	143
241	61    	108.59	10.8019	103	139
242	57    	109.07	11.8813	103	154
243	61    	108.96	11.3885	103	143
244	63    	110.2 	13.2567	103	149
245	58    	109.19	11.9186	103	142
246	63    	110.09	12.3928	103	146
247	64    	109.21	11.9015	103	147
248	56    	106.41	9.58342	103	139
249	70    	109.55	12.805 	103	147
250	55    	109.74	12.2887	103	145
251	72    	110.62	13.0083	103	148
252	67    	110.21	12.0335	103	138
253	61    	109.77	11.9832	103	141
254	63    	110.7 	13.0081	103	142
255	52    	108.13	10.8753	103	139
256	60    	107.14	10.1597	103	144
257	52    	106.81	9.68369	103	142
258	45    	107.27	9.48563	103	140
259	63    	107.31	9.76186	103	140
260	58    	107.82	10.0562	103	141
261	62    	108.67	11.6817	103	144
262	53    	108.14	11.0055	103	149
263	70    	108.93	11.651 	103	144
264	56    	108.51	11.389 	103	142
265	77    	109.24	12.5484	103	146
266	54    	107.69	10.4036	103	141
267	61    	108.86	11.9105	103	144
268	63    	105.87	8.31343	103	137
269	60    	107.76	10.4634	103	142
270	53    	107.89	11.2026	103	147
271	63    	108.98	11.7703	103	141
272	61    	108.2 	11.349 	103	147
273	49    	107.01	10.4685	103	140
274	49    	107.33	10.4967	103	148
275	65    	109.84	12.3083	103	147
276	56    	108.77	11.4838	103	145
277	66    	111.73	13.0022	103	148
278	57    	108.87	10.9614	103	148
279	62    	107.01	10.3764	103	147
280	56    	107.62	10.309 	103	137
281	58    	109.91	12.6965	103	146
282	56    	108.46	11.8063	103	151
283	61    	107.58	11.4588	103	151
284	51    	108.14	11.2036	103	145
285	54    	107.26	10.3601	103	146
286	63    	111.24	12.9376	103	142
287	68    	111.87	13.1398	103	142
288	55    	107.29	10.1777	103	149
289	56    	109.31	11.9128	102	142
290	57    	108.4 	11.414 	102	145
291	59    	107.8 	10.5707	102	141
292	70    	107.07	10.1541	102	139
293	54    	106.71	10.215 	102	140
294	58    	107.38	11.027 	102	143
295	66    	107.77	11.8818	101	148
296	44    	106.03	9.89591	100	140
297	68    	107.52	11.4747	100	139
298	67    	107.28	11.0481	100	139
299	59    	105.85	10.5834	100	143
300	64    	106.32	11.3577	99 	141
301	55    	104.45	10.4837	99 	141
302	47    	105.33	10.9919	99 	139
303	52    	105.79	11.774 	99 	138
304	61    	106.54	12.9069	99 	139
305	70    	104.02	10.5442	99 	139
306	59    	102.89	9.74669	99 	136
307	62    	104.81	11.6479	99 	140
308	54    	105.97	12.3681	99 	136
309	55    	105.73	12.6435	99 	142
310	69    	105.84	12.7779	99 	141
311	57    	104.19	11.3443	99 	140
312	51    	104.72	11.3737	99 	139
313	62    	106.06	12.9126	99 	140
314	62    	105.83	12.717 	99 	144
315	62    	102.82	9.81772	99 	143
316	57    	103.95	10.4138	99 	134
317	61    	102.96	10.5365	99 	136
318	67    	102.06	8.559  	99 	134
319	55    	104.36	11.0802	99 	136
320	57    	103.86	11.0626	99 	143
321	70    	104.13	10.6082	99 	135
322	59    	102.52	9.00387	99 	135
323	65    	102.73	9.63624	99 	137
324	61    	105.36	11.9   	99 	138
325	63    	104.91	11.7474	99 	139
326	56    	102.67	9.77144	99 	138
327	58    	105.51	12.3592	99 	138
328	48    	104.71	11.4099	99 	137
