gen	nevals	Avg   	Std    	Min	Max
724	55    	95.99 	14.4343	87 	129
725	55    	91.73 	11.2666	87 	135
726	64    	93.99 	13.1936	87 	133
727	61    	94.09 	13.2492	87 	129
728	53    	92.55 	12.543 	87 	131
729	50    	93.41 	13.1545	87 	131
730	59    	94.67 	14.0179	87 	149
731	61    	95.33 	13.332 	87 	125
732	58    	95.96 	14.7512	87 	133
733	54    	92.18 	11.0312	87 	128
734	66    	93.44 	13.2169	87 	130
735	58    	91.68 	11.0271	87 	128
736	68    	94.76 	13.3522	87 	127
737	64    	92.87 	12.134 	87 	128
738	52    	93.18 	12.3567	87 	129
739	51    	91.15 	10.3734	87 	129
740	59    	95.64 	14.2433	87 	130
741	51    	91.26 	9.91223	87 	123
742	52    	94.76 	13.8276	87 	130
743	59    	94.22 	14.0731	87 	150
744	52    	91.49 	10.9677	87 	131
745	63    	94.19 	13.4898	87 	131
746	61    	92.79 	13.1006	87 	136
747	70    	93.82 	12.4687	87 	129
748	62    	93.21 	12.8104	87 	130
749	57    	92.21 	12.7721	86 	144
750	61    	93.35 	13.3292	86 	133
751	58    	93.73 	12.9822	86 	128
752	61    	93.85 	13.1312	86 	131
753	43    	92.2  	12.8211	86 	130
754	62    	90.89 	11.0534	86 	128
755	55    	91.36 	11.9946	86 	146
756	68    	90.59 	11.1947	86 	128
757	63    	92.69 	13.588 	86 	133
758	56    	93.22 	12.9974	86 	128
759	53    	92.24 	12.2549	86 	130
760	56    	93.01 	13.551 	86 	132
761	63    	91.97 	12.5821	86 	128
762	50    	88.68 	8.81803	86 	124
763	75    	94.63 	14.5771	86 	131
764	53    	93.38 	13.9541	86 	135
765	63    	92.83 	12.9862	86 	131
766	49    	91.12 	11.7773	86 	131
767	60    	91.04 	11.1525	86 	124
768	60    	92.85 	13.1357	86 	132
769	71    	93.87 	13.6935	86 	129
770	51    	91.63 	11.8073	86 	131
771	73    	92.96 	13.5639	86 	129
772	67    	94.93 	14.7107	86 	136
773	47    	93.61 	13.9463	86 	134
774	59    	92.35 	12.7164	86 	127
775	62    	92.82 	13.0632	86 	127
776	55    	91.72 	11.9516	86 	126
777	61    	92.26 	13.3683	86 	137
778	60    	91.11 	11.7685	86 	132
779	64    	94.07 	14.6351	86 	134
780	67    	96.57 	14.5508	86 	129
781	56    	93.31 	13.2157	86 	128
782	52    	93.01 	12.8635	86 	125
783	64    	92.06 	12.5625	86 	135
784	52    	92.31 	12.5513	86 	129
785	56    	93.85 	13.2886	86 	126
786	63    	92.8  	13.4907	86 	132
787	56    	95.42 	15.0208	86 	130
788	67    	91.19 	12.0347	86 	140
789	52    	93.22 	13.6327	86 	128
790	55    	92.59 	13.2907	86 	133
791	71    	93.43 	13.7006	86 	131
792	55    	93.52 	13.7924	86 	133
793	60    	93.68 	13.8028	86 	128
794	56    	93.39 	13.2151	86 	136
795	64    	93.57 	13.761 	86 	132
796	57    	94.59 	14.9506	86 	139
797	60    	90.09 	10.8066	86 	126
798	65    	94.48 	14.6133	86 	130
799	62    	91.24 	11.3023	86 	126
800	60    	93.91 	14.3263	86 	134
801	78    	94.78 	14.7286	86 	144
802	55    	90.65 	11.4056	86 	128
803	52    	90.51 	11.2654	86 	129
804	56    	90.75 	11.4773	86 	127
805	70    	91.84 	11.8993	86 	141
806	55    	90.78 	11.0096	86 	124
807	51    	91.96 	12.6071	86 	132
808	61    	93.26 	13.6752	86 	148
809	57    	92.45 	12.8276	86 	131
810	66    	92.89 	13.0353	86 	136
811	59    	92.21 	12.8291	86 	132
812	67    	93.08 	12.7692	86 	138
813	62    	94.32 	14.1837	86 	132
814	56    	94.36 	14.1114	86 	129
815	56    	91.29 	11.3985	86 	127
816	62    	90.3  	10.8032	86 	124
817	64    	92.74 	13.4347	86 	132
818	57    	92.26 	12.536 	86 	140
819	66    	93.12 	13.7246	86 	137
820	51    	88.67 	8.50771	86 	121
821	63    	91.31 	11.5436	86 	127
822	55    	90.33 	11.2792	86 	142
823	59    	92.44 	12.4927	86 	124
824	67    	90.41 	11.3023	86 	131
825	63    	91.9  	12.476 	86 	133
826	70    	94.21 	13.819 	86 	127
827	57    	94.42 	14.6131	86 	134
828	57    	90.99 	11.0494	86 	127
829	66    	92.94 	13.5335	86 	133
830	52    	92.27 	12.1044	86 	125
831	63    	95.24 	14.7378	85 	128
832	48    	91.58 	11.9609	85 	130
833	65    	90.12 	10.6483	85 	131
834	68    	90.87 	11.1469	85 	125
835	53    	90.68 	11.1147	85 	125
836	53    	91.82 	12.7321	85 	128
837	61    	93.89 	14.9478	85 	138
838	42    	91.67 	12.8008	85 	127
839	57    	89.95 	11.0909	85 	121
840	72    	94.13 	14.1779	85 	133
841	57    	89.89 	11.599 	85 	127
842	49    	89.74 	11.4627	85 	127
843	60    	90.76 	12.5842	85 	127
844	60    	94.06 	14.6525	85 	128
845	54    	92.07 	13.4768	85 	131
846	66    	90.53 	12.3689	85 	138
847	48    	93.01 	14.3098	85 	128
848	62    	91.39 	13.4014	85 	132
849	58    	90.86 	11.7192	85 	126
850	65    	89.91 	11.5776	85 	128
851	64    	90.75 	12.2559	85 	129
852	68    	94.35 	15.3123	85 	135
853	56    	90.85 	12.051 	85 	143
854	49    	89.92 	11.8892	85 	133
855	58    	90    	11.5922	85 	123
856	69    	91.31 	12.3699	85 	128
857	60    	92.77 	14.0249	85 	129
858	57    	92.42 	14.0636	85 	129
859	67    	91.23 	12.8692	85 	136
860	50    	91.7  	13.6503	85 	127
861	59    	90.3  	12.1404	85 	128
862	54    	90.09 	11.4404	85 	125
863	53    	92.03 	13.151 	85 	125
864	44    	91.8  	14.2288	85 	135
865	52    	90.45 	11.6227	85 	127
866	66    	92.29 	14.0088	85 	130
867	55    	93.91 	14.2409	85 	130
868	60    	89.52 	10.9813	85 	130
869	63    	89.02 	10.2362	85 	124
870	62    	90.01 	11.269 	85 	127
871	55    	91.79 	13.398 	85 	125
872	61    	90.72 	12.1738	85 	129
873	72    	92.25 	13.3898	85 	137
874	61    	94.32 	14.8424	85 	126
875	63    	93.78 	14.3008	85 	133
876	49    	92.57 	14.4279	85 	132
877	63    	91.3  	12.4157	85 	126
878	61    	89.78 	11.5832	85 	124
879	62    	90.52 	12.5447	85 	133
880	57    	92.89 	14.2583	85 	132
881	58    	90.67 	12.3677	85 	125
882	48    	89.68 	11.4306	85 	126
883	58    	92.07 	13.62  	85 	126
884	54    	91.74 	13.3174	85 	127
885	69    	92.21 	13.7748	85 	126
886	63    	91.68 	13.7243	85 	130
887	65    	90.38 	12.1407	85 	129
888	56    	91.51 	12.9108	85 	132
889	59    	92.38 	13.5387	85 	128
890	55    	90.28 	11.9341	85 	129
891	67    	90.01 	11.6263	85 	125
892	63    	94.21 	15.1574	85 	130
893	63    	90.74 	11.566 	85 	127
894	66    	90.7  	12.3446	85 	133
895	68    	91.72 	13.6646	85 	131
896	67    	90.55 	11.6802	85 	123
897	53    	88.64 	10.0961	85 	125
898	53    	92.17 	12.7781	85 	125
899	64    	94.07 	15.2291	85 	129
900	73    	91.77 	13.0911	85 	133
901	66    	91.73 	12.2302	85 	126
902	67    	94.71 	15.0228	85 	131
903	57    	90.68 	12.2228	85 	126
904	58    	92.15 	12.951 	85 	125
905	61    	93.44 	14.5851	85 	128
906	65    	90.03 	11.8063	85 	133
907	62    	91.7  	13.2178	85 	126
908	67    	91.73 	13.1361	85 	133
909	57    	90.08 	11.8816	85 	132
910	61    	92.76 	13.782 	85 	129
911	47    	90.33 	12.3645	85 	127
912	46    	91.53 	13.2714	85 	131
913	58    	90.02 	11.2428	85 	131
914	60    	88.86 	10.7972	85 	132
915	58    	91.8  	12.9592	85 	128
916	59    	90.37 	11.5928	85 	132
917	66    	91.06 	12.7403	85 	132
918	58    	92.14 	13.7964	85 	133
919	56    	89.23 	10.4813	85 	125
920	72    	91.8  	12.9198	85 	130
921	64    	91.07 	12.4493	85 	127
922	51    	90.4  	11.556 	85 	121
923	57    	92.51 	14.0382	85 	132
924	63    	90.98 	11.8186	85 	122
925	60    	90.94 	13.2837	85 	152
926	64    	91.2  	12.6151	85 	126
927	59    	89.97 	12.1107	85 	129
928	68    	92.98 	13.7484	85 	125
929	57    	90.44 	11.6862	85 	129
930	70    	89.81 	11.1442	85 	126
931	61    	90.01 	11.6726	85 	123
932	72    	90.29 	11.8981	85 	127
933	57    	92.52 	13.5783	85 	129
934	62    	93.82 	14.7827	85 	127
935	75    	94.32 	14.5044	85 	130
936	56    	90.3  	12.5144	85 	147
937	66    	90.72 	11.6911	85 	122
938	69    	92.47 	13.4844	85 	129
939	62    	91.77 	13.1186	85 	135
940	60    	91.5  	13.1814	85 	133
941	60    	91.58 	12.7947	85 	135
942	55    	91.81 	12.9118	85 	129
943	55    	90.77 	13.1079	85 	140
944	58    	89.85 	11.7136	85 	127
945	60    	88.82 	10.0463	85 	122
946	63    	91.01 	12.3883	85 	130
947	63    	91.14 	12.3629	85 	125
948	50    	92.61 	14.3157	85 	134
949	52    	90.5  	11.9746	85 	127
950	65    	90.98 	12.5292	85 	125
951	52    	89.86 	11.5039	85 	130
952	68    	90.7  	12.9023	85 	131
953	60    	90.71 	13.4136	85 	136
954	61    	91.93 	12.9207	85 	127
955	56    	90.69 	11.9077	85 	127
956	64    	90.21 	12.1262	85 	131
957	58    	90.14 	11.5204	85 	126
958	59    	91.22 	12.7016	85 	126
959	70    	92.64 	13.692 	85 	133
960	49    	92.1  	12.9673	85 	125
961	56    	90.34 	11.6329	85 	125
962	54    	92.58 	13.7537	85 	128
963	55    	93.03 	14.2664	85 	128
964	60    	92.44 	14.4065	85 	130
965	43    	89.19 	10.7812	85 	129
966	66    	92.2  	13.2098	85 	129
967	60    	90.67 	13.1575	85 	150
968	58    	90.78 	13.2057	85 	138
969	60    	91.65 	13.5716	85 	130
970	55    	91.28 	12.9754	85 	131
971	59    	90.83 	12.2597	85 	125
972	57    	92.09 	13.3425	85 	131
973	61    	91.19 	12.667 	85 	129
974	72    	91.04 	11.9239	85 	128
975	67    	92.71 	13.7305	85 	136
976	64    	91.71 	12.1666	85 	126
977	64    	92.73 	14.1597	85 	131
978	63    	94.21 	15.4941	85 	136
979	52    	90.68 	12.634 	85 	136
980	72    	92.88 	14.7033	85 	131
981	70    	94.71 	15.3963	85 	130
982	65    	92.2  	13.5314	85 	133
983	59    	92.13 	13.3721	85 	126
984	56    	91.11 	12.6427	85 	125
985	63    	91.73 	12.9165	85 	129
986	67    	90.95 	12.6897	85 	135
987	74    	93    	14.5017	85 	149
988	67    	92.07 	13.163 	85 	128
989	71    	90.53 	12.0012	85 	130
990	56    	90.27 	11.933 	85 	136
991	61    	91.89 	13.2294	85 	125
992	46    	91.63 	13.4786	85 	132
993	55    	90.25 	11.6579	85 	130
994	54    	92.92 	14.6865	85 	132
995	62    	89.72 	10.9709	85 	132
996	60    	92.9  	13.8474	85 	137
997	66    	92.43 	13.7035	85 	128
998	48    	89.41 	11.0987	85 	128
999	75    	90.41 	11.3957	85 	127
1000	56    	92.01 	13.8741	85 	130
